Accession,Organism_Name,GenBank_MD5
OR562161,Severe acute respiratory syndrome coronavirus 2,9d44ba72a1df44b4ab2a448941faeaa7
OR545591,Severe acute respiratory syndrome coronavirus 2,2a8c9fd248388f26d93b022f16bb4d67
OR545600,Severe acute respiratory syndrome coronavirus 2,21f06dc365f13836deee51353debee87
OR545645,Severe acute respiratory syndrome coronavirus 2,2d0c19ba2ebd5a7a3719323655f6b329
OR527575,Severe acute respiratory syndrome coronavirus 2,e9a5e62bbc374da1d2d1f1e8da277800
OR527867,Severe acute respiratory syndrome coronavirus 2,2963df6e299f93837ead1bc756a1b31b
OR517896,Severe acute respiratory syndrome coronavirus 2,2378166f70044f5b207944a8054894be
OR517913,Severe acute respiratory syndrome coronavirus 2,5e694f7db602b612403e38f14f8a452b
OR517977,Severe acute respiratory syndrome coronavirus 2,ac03c31ace2648d35e5e04dec898625c
OR518002,Severe acute respiratory syndrome coronavirus 2,e93121364cf5bf8efd9760b8f4031baf
OR518097,Severe acute respiratory syndrome coronavirus 2,2168b4eb0db95ac92fb5a5755ca1fb19
OR514727,Severe acute respiratory syndrome coronavirus 2,9e7c69bd4cbb8fcd1b5da9142e1d0efd
OR504150,Severe acute respiratory syndrome coronavirus 2,8ef7c0175c7572a72c14a9374390a635
LC777462,Severe acute respiratory syndrome coronavirus 2,98dbb1469bc3c458fb9618b60bb79352
BS007410,Severe acute respiratory syndrome coronavirus 2,480f4e4754c139401b312ae1df35a599
OR455279,Severe acute respiratory syndrome coronavirus 2,72c31eb07ec832bc6ce59b3d53575289
OR456972,Severe acute respiratory syndrome coronavirus 2,bc3922cef3596a8dcabac50df9dd434e
OR452877,Severe acute respiratory syndrome coronavirus 2,1792598d324d620b29c87ea2acaedc69
OR417147,Severe acute respiratory syndrome coronavirus 2,8b33c805480efbd7a8042a50f672413a
OR417148,Severe acute respiratory syndrome coronavirus 2,90c76d3adc3573c6d490911dfa8cf3e9
OR414170,Severe acute respiratory syndrome coronavirus 2,4ea4ac2e0830db8eb61458bcafed2e31
OR397706,Severe acute respiratory syndrome coronavirus 2,7270fe5a16a37fabdd27ef8e382d55b3
OR398179,Severe acute respiratory syndrome coronavirus 2,88ce12eb016fb074807635da17d98eb3
OR398180,Severe acute respiratory syndrome coronavirus 2,5f7fbef8088a30ff643d49df5d60d18d
OR398181,Severe acute respiratory syndrome coronavirus 2,0d4b34d78139caad68aa2d970cc10af2
OR398183,Severe acute respiratory syndrome coronavirus 2,08949f5bd3e4bade979085a755f5f192
OR398184,Severe acute respiratory syndrome coronavirus 2,3d1806fa94f3dbc47e611d464eb20754
OR365232,Severe acute respiratory syndrome coronavirus 2,e9fc01a4050acfb691862f4c75533f8b
OR327437,Severe acute respiratory syndrome coronavirus 2,c2e2fc11d7525a01644e6d43177f4a75
OP413440,Severe acute respiratory syndrome coronavirus 2,9a10011582a4323a814e7e025bbdab42
OP413447,Severe acute respiratory syndrome coronavirus 2,0882e7c6a2c4c6e0bed3668da4d46e44
OR258038,Severe acute respiratory syndrome coronavirus 2,08de4b389c96bc8179aad586b008b126
OR258039,Severe acute respiratory syndrome coronavirus 2,db012bfe370b04c15b5fbcc9dbb058cc
OR249993,Severe acute respiratory syndrome coronavirus 2,20d49692b9fafe576ef8898f769b4c47
OR219710,Severe acute respiratory syndrome coronavirus 2,4d1be82fd1f62f1495b6d2577eee5424
OR206513,Severe acute respiratory syndrome coronavirus 2,2d62d38a532d3fe227bca43ceff7bd71
OR200606,Severe acute respiratory syndrome coronavirus 2,cad8ba27a28073f990edc19ac8d21111
OR180101,Severe acute respiratory syndrome coronavirus 2,eb783a1f039ca7c32a1ac4949e93d955
OR180623,Severe acute respiratory syndrome coronavirus 2,121df5c8a967ac898877b418638822c0
OR180686,Severe acute respiratory syndrome coronavirus 2,fb4b348acd941d8640b3c08cfbc6d848
OR180687,Severe acute respiratory syndrome coronavirus 2,c283caf0f9f9d2996238befc6476183c
OR155352,Severe acute respiratory syndrome coronavirus 2,e87d61c2e38d0b199caa1b0b3a14d2c4
OR155496,Severe acute respiratory syndrome coronavirus 2,441bf1186ddd084ef34448e6db4b2680
OR155536,Severe acute respiratory syndrome coronavirus 2,1c0ae0963d08dc21dc53000030a51f70
OR155607,Severe acute respiratory syndrome coronavirus 2,3aa391569e4814f1a82240297214c2b7
OR155659,Severe acute respiratory syndrome coronavirus 2,e5f2a175b0ae4de6e0501de84b5498bf
OR159239,Severe acute respiratory syndrome coronavirus 2,a5898199c7074152ef0dcb589ae34aae
OR159244,Severe acute respiratory syndrome coronavirus 2,faa34946a9cee114913f96e3f02c5192
OR159278,Severe acute respiratory syndrome coronavirus 2,ef79a49c22717b6918fccc6a52137d39
OR159289,Severe acute respiratory syndrome coronavirus 2,dfa612b426abc69f2023c57af438faa5
OR159293,Severe acute respiratory syndrome coronavirus 2,91f49cb7e94e5e5c8174d457ab2f2c1c
OR160402,Severe acute respiratory syndrome coronavirus 2,b5074267d800d26529a63072342dc183
OR145077,Severe acute respiratory syndrome coronavirus 2,1324c37cf8c650795ad79bc36b924bba
OR144554,Severe acute respiratory syndrome coronavirus 2,8b52da4af4853fdf658206c449d45149
